Battery type,Number of cell,Diameter [m],Length [m],Volumetric Energy [Wh/m³],Specific Energy [Wh/kg],Capacity [Wh],Mass_battery [kg]
NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.08931862073421139
NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.10910358586835654
NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402
NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.07443218394517616
LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.11637715825958031
LiCF,3,0.018,0.065,215600,98.0,10.698385905719988,0.10916720311959172
LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.11637715825958032
NaS,3,0.046,0.08,399000,210.0,159.14378471660427,0.7578275462695442
LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277034
LiIon_21700,3,0.018,0.065,228500,190.4,11.338502687648504,0.05955095949395222
LiFe_18650,3,0.018,0.065,69730,57.75,3.460104124331423,0.05991522293214585
LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.08782445070823089
LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.08417729846023014
Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.07067930072104964
