Radiator material,A_radiator [m2],rho [kg/m³],emissivity,thickness [m],Q_rad [W/K⁴],Mass_radiator [kg]
Quartzmirror,0.03,1333,0.8,0.008,1.3607999999999999e-09,0.31992000000000004
Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126
Silveredteflon_5mil,0.03,2100,0.78,0.005,1.3267799999999998e-09,0.315
Aluminizedteflon_2mil,0.03,2200,0.78,0.002,1.3267799999999998e-09,0.132
Aluminizedteflon_5mil,0.03,2200,0.66,0.005,1.12266e-09,0.33
Whitepaints_S13G-LO,0.03,1300,0.85,0.003,1.4458499999999997e-09,0.117
Whitepaints_Z93,0.03,1300,0.92,0.001,1.5649199999999998e-09,0.039
Whitepaints_ZOT,0.03,1300,0.91,0.002,1.5479099999999999e-09,0.078
Whitepaints_chemglazeA276,0.03,1300,0.88,0.001,1.49688e-09,0.039
Blackpaints_chemglazeZ306,0.03,1200,0.89,0.0015,1.5138899999999998e-09,0.054
Blackpaints_3Mblackvelvet,0.03,1200,0.84,0.002,1.4288399999999998e-09,0.07200000000000001
Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213
Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999998e-09,0.0426
Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852
Aluminizedkapton_5mil,0.03,1420,0.86,0.005,1.4628599999999998e-09,0.21300000000000002
Metallic_VDA,0.03,2700,0.04,0.002,6.803999999999999e-11,0.162
Metallic_bareAl,0.03,2700,0.1,0.001,1.7009999999999999e-10,0.081
Metallic_VDG,0.03,8400,0.03,0.001,5.102999999999999e-11,0.252
Metallic_anodizedAl,0.03,2750,0.88,0.002,1.49688e-09,0.165
Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125
Betacloth,0.03,1600,0.86,0.003,1.4628599999999998e-09,0.14400000000000002
Astroquartz,0.03,2000,0.8,0.0015,1.3607999999999999e-09,0.09
Maxorb,0.03,2100,0.1,0.0015,1.7009999999999999e-10,0.0945
