Solar Material,Efficiency,Specific Power [W/kg],A_solar [m^2],P_solar_max [W],Mass_solar_array [kg]
Polyimide1,0.28,50.0,0.03,11.482800000000001,0.22965600000000003
Polyimide2,0.148,75.0,0.03,6.0694799999999995,0.0809264
CFRP_substrate1,0.15,69.0,0.03,6.1514999999999995,0.08915217391304348
CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.09031964285714285
PCB1,0.18,95.0,0.03,7.381799999999999,0.07770315789473684
PCB2,0.174,100.0,0.03,7.135739999999999,0.07135739999999999
Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.15225727611940298
FlexiblePV,0.3,100.0,0.03,12.302999999999999,0.12302999999999999
Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.19613478260869566
Carbon_fiber,0.21,84.5,0.03,8.6121,0.10191834319526627
